ID,Prob1
0, 0.34789
1, 0.41165
2, 0.28750
3, 0.25124
4, 0.28430
5, 0.29762
6, 0.32966
7, 0.30513
8, 0.35090
9, 0.37685
10, 0.44158
11, 0.29055
12, 0.37067
13, 0.61088
14, 0.27226
15, 0.47678
16, 0.31471
17, 0.52037
18, 0.40509
19, 0.29394
20, 0.36808
21, 0.39477
22, 0.31011
23, 0.33251
24, 0.26878
25, 0.45513
26, 0.37657
27, 0.29517
28, 0.30444
29, 0.39140
30, 0.33309
31, 0.32015
32, 0.30485
33, 0.40286
34, 0.44154
35, 0.30596
36, 0.29729
37, 0.34928
38, 0.52697
39, 0.31524
40, 0.30871
41, 0.46663
42, 0.32622
43, 0.50936
44, 0.40217
45, 0.34498
46, 0.47179
47, 0.35834
48, 0.37778
49, 0.43853
50, 0.35646
51, 0.40758
52, 0.48627
53, 0.32079
54, 0.32687
55, 0.34372
56, 0.35284
57, 0.33308
58, 0.56452
59, 0.31620
60, 0.27150
61, 0.28467
62, 0.47252
63, 0.42084
64, 0.37098
65, 0.32518
66, 0.35191
67, 0.42539
68, 0.33219
69, 0.44106
70, 0.45669
71, 0.36163
72, 0.31161
73, 0.39863
74, 0.55739
75, 0.46958
76, 0.37301
77, 0.45610
78, 0.42478
79, 0.35943
80, 0.55511
81, 0.32022
82, 0.40670
83, 0.42353
84, 0.37727
85, 0.32786
86, 0.46940
87, 0.48624
88, 0.34663
89, 0.32042
90, 0.36932
91, 0.28024
92, 0.29071
93, 0.54779
94, 0.29826
95, 0.36213
96, 0.34793
97, 0.34152
98, 0.34535
99, 0.43792
100, 0.51646
101, 0.27081
102, 0.33628
103, 0.43207
104, 0.41713
105, 0.48850
106, 0.29364
107, 0.56520
108, 0.43380
109, 0.34311
110, 0.27667
111, 0.40718
112, 0.66806
113, 0.32971
114, 0.42298
115, 0.32577
116, 0.34225
117, 0.58029
118, 0.45153
119, 0.39877
120, 0.46237
121, 0.42413
122, 0.26377
123, 0.39185
124, 0.32655
125, 0.44346
126, 0.44302
127, 0.53824
128, 0.44213
129, 0.54021
130, 0.10514
131, 0.31617
132, 0.32649
133, 0.41994
134, 0.45434
135, 0.29682
136, 0.36541
137, 0.55446
138, 0.34075
139, 0.42815
140, 0.34659
141, 0.33831
142, 0.42750
143, 0.27381
144, 0.42870
145, 0.36181
146, 0.26937
147, 0.36454
148, 0.29413
149, 0.29972
150, 0.29218
151, 0.59975
152, 0.36844
153, 0.46117
154, 0.38341
155, 0.35475
156, 0.37979
157, 0.34669
158, 0.29819
159, 0.43024
160, 0.65274
161, 0.29490
162, 0.29594
163, 0.33656
164, 0.50213
165, 0.27928
166, 0.32315
167, 0.29933
168, 0.35942
169, 0.39663
170, 0.42722
171, 0.46615
172, 0.43896
173, 0.35937
174, 0.28604
175, 0.29686
176, 0.61696
177, 0.31634
178, 0.43113
179, 0.32305
180, 0.48385
181, 0.30527
182, 0.37289
183, 0.31154
184, 0.31381
185, 0.41787
186, 0.33861
187, 0.38805
188, 0.29486
189, 0.29728
190, 0.33250
191, 0.50447
192, 0.29402
193, 0.45884
194, 0.42102
195, 0.38322
196, 0.37638
197, 0.41910
198, 0.54826
199, 0.53249
200, 0.33420
201, 0.42251
202, 0.28110
203, 0.45563
204, 0.31052
205, 0.26997
206, 0.27120
207, 0.35761
208, 0.35197
209, 0.30492
210, 0.35675
211, 0.28717
212, 0.63333
213, 0.44923
214, 0.33997
215, 0.31967
216, 0.49178
217, 0.46288
218, 0.55789
219, 0.36479
220, 0.40783
221, 0.32361
222, 0.68755
223, 0.51009
224, 0.44390
225, 0.35139
226, 0.53820
227, 0.41053
228, 0.35343
229, 0.43070
230, 0.38286
231, 0.56509
232, 0.29811
233, 0.30527
234, 0.30188
235, 0.33056
236, 0.28819
237, 0.32558
238, 0.35449
239, 0.31534
240, 0.40838
241, 0.25669
242, 0.34394
243, 0.39352
244, 0.28258
245, 0.42282
246, 0.42740
247, 0.34093
248, 0.39693
249, 0.31481
250, 0.35924
251, 0.49741
252, 0.32691
253, 0.34474
254, 0.34350
255, 0.63021
256, 0.57882
257, 0.44734
258, 0.40130
259, 0.61686
260, 0.28942
261, 0.33435
262, 0.36420
263, 0.37138
264, 0.45106
265, 0.38481
266, 0.29939
267, 0.31790
268, 0.39686
269, 0.19112
270, 0.28652
271, 0.36886
272, 0.41940
273, 0.38964
274, 0.55136
275, 0.36431
276, 0.30518
277, 0.37801
278, 0.29914
279, 0.31711
280, 0.30929
281, 0.40771
282, 0.40645
283, 0.33873
284, 0.42443
285, 0.41704
286, 0.32725
287, 0.31840
288, 0.30033
289, 0.34573
290, 0.43010
291, 0.33071
292, 0.30537
293, 0.30077
294, 0.34728
295, 0.33160
296, 0.41860
297, 0.44997
298, 0.46899
299, 0.27897
300, 0.33313
301, 0.28028
302, 0.54319
303, 0.30131
304, 0.28770
305, 0.29455
306, 0.29767
307, 0.31477
308, 0.29652
309, 0.26214
310, 0.38084
311, 0.33578
312, 0.29737
313, 0.38482
314, 0.49458
315, 0.39411
316, 0.29583
317, 0.28696
318, 0.32932
319, 0.30417
320, 0.35320
321, 0.28992
322, 0.31696
323, 0.30198
324, 0.29786
325, 0.33241
326, 0.36133
327, 0.37098
328, 0.56772
329, 0.62736
330, 0.48142
331, 0.28946
332, 0.41791
333, 0.33980
334, 0.34444
335, 0.29859
336, 0.39876
337, 0.41426
338, 0.45444
339, 0.28398
340, 0.43525
341, 0.47304
342, 0.39978
343, 0.30142
